document_id,document_text,metadata
1,This document provides details about participant compensation. Participants may receive reimbursement for time and travel. Requires payment information.,Requires payment information
2,This document provides details about study rules and responsibilities. Participants must follow all procedures in the protocol. Requires protocol compliance.,Requires protocol compliance
3,This document provides details about informed consent. Participants must sign the consent form before any study activities. Requires signed consent.,Requires signed consent
4,This document provides details about eligibility criteria. Participants must meet inclusion and exclusion requirements. Requires eligibility verification.,Requires eligibility verification
5,This document provides details about adverse event reporting. All side effects must be reported to the study team. Requires safety reporting.,Requires safety reporting
6,This document provides details about study visit schedules. Participants must attend all required visits. Requires visit adherence.,Requires visit adherence
7,This document provides details about medication dosing. Study drugs must be taken exactly as prescribed. Requires dosing compliance.,Requires dosing compliance
8,This document provides details about randomization procedures. Participants are assigned to groups randomly. Requires group assignment.,Requires group assignment
9,This document provides details about blinding procedures. Treatment assignments may be masked. Requires blinding compliance.,Requires blinding compliance
10,This document provides details about data privacy. Participant data is confidential. Requires data protection.,Requires data protection
11,This document provides details about withdrawal rights. Participants may withdraw anytime. Requires withdrawal rights.,Requires withdrawal rights
12,This document provides details about protocol deviations. Deviations must be documented. Requires deviation reporting.,Requires deviation reporting
13,This document provides details about serious adverse events. Life-threatening events require immediate reporting. Requires urgent safety reporting.,Requires urgent safety reporting
14,This document provides details about monitoring visits. Monitors ensure compliance. Requires monitoring procedures.,Requires monitoring procedures
15,This document provides details about source data verification. Data must match medical records. Requires source data.,Requires source data
16,This document provides details about case report forms. Data must be entered accurately. Requires CRF completion.,Requires CRF completion
17,This document provides details about investigational product storage. Drugs must be stored correctly. Requires proper storage.,Requires proper storage
18,This document provides details about accountability logs. All drug use must be tracked. Requires accountability records.,Requires accountability records
19,This document provides details about staff training. All staff must complete GCP training. Requires staff training.,Requires staff training
20,This document provides details about ethics committee approval. Approval is required before enrollment. Requires IRB/EC approval.,Requires IRB/EC approval
21,This document provides details about protocol amendments. Changes must be approved. Requires amendment approval.,Requires amendment approval
22,This document provides details about recruitment materials. Only approved materials may be used. Requires recruitment compliance.,Requires recruitment compliance
23,This document provides details about screening procedures. Participants must be screened. Requires screening data.,Requires screening data
24,This document provides details about enrollment confirmation. Eligible participants are enrolled. Requires enrollment confirmation.,Requires enrollment confirmation
25,This document provides details about follow-up visits. Participants must complete follow-ups. Requires follow-up compliance.,Requires follow-up compliance
