query_id,query_text
1,When is my screening visit?
2,What happens during the screening appointment?
3,What do I need to bring to my first visit?
4,How long does Visit 1 usually take?
5,What happens on Day 0 of the study?
6,How many visits are there in total?
7,Can I reschedule a study visit?
8,What if I miss a scheduled appointment?
9,Do I have to attend every follow-up visit?
10,How often will I come to the clinic?
11,Will I receive payment for participating?
12,When will I get reimbursed for travel?
13,How much compensation do participants receive?
14,How do I provide my payment details?
15,Are meals or transportation covered?
16,Can I withdraw from the study at any time?
17,What happens if I decide to leave the study early?
18,Will leaving the study affect my medical care?
19,Do I need to give a reason to withdraw?
20,How do I officially withdraw from the trial?
21,What side effects should I expect?
22,What should I do if I feel unwell during the study?
23,Who do I contact if I have a medical problem?
24,What is considered a serious adverse event?
25,How quickly should I report side effects?
26,Will my data be kept confidential?
27,Who can see my medical information?
28,How is my privacy protected?
29,Is my information shared outside the study?
30,How long is my data stored?
31,Can I take my regular medications?
32,Are painkillers like ibuprofen allowed?
33,Can I drink alcohol during the study?
34,Am I allowed to take supplements?
35,Which medications are prohibited?
36,Do I need to stop any drugs before joining?
37,Will I receive the study drug or a placebo?
38,How are participants assigned to groups?
39,What does randomization mean?
40,Will I know which treatment I get?
41,What does a blinded study mean?
42,Can the study team see my treatment group?
43,What happens if I need to be unblinded?
44,When is unblinding allowed?
45,Do I need to fill out any diaries?
46,How often do I complete questionnaires?
47,What are patient-reported outcomes?
48,Are surveys done online or in person?
49,What happens if I forget to fill out a form?
50,What labs or tests will be done?
51,Will I have blood drawn at each visit?
52,Are ECGs or scans required?
53,How long do the procedures take?
54,Do I need to fast before lab tests?
55,What happens to my samples after collection?
56,How is the study drug stored?
57,Do I need to return unused medication?
58,What if I miss a dose?
59,Can someone else take my study drug?
60,How is drug use tracked?
61,Who is responsible for my safety during the study?
62,What training do the study staff have?
63,Who oversees the trial?
64,What is the role of the sponsor?
65,Does an ethics committee review this study?
66,Has this study been approved?
67,Where is the study registered?
68,Will the results be published?
69,Can I see the study findings?
70,When will results be available?
71,What is a protocol amendment?
72,Can the study procedures change?
73,How will I be told about changes?
74,Do I need to re-sign the consent form?
75,What is re-consent?
76,How is compliance monitored?
77,What happens if I don’t follow the rules?
78,Will I get reminders for visits?
79,How does the study reduce errors?
80,Are there audits or inspections?
81,What is a monitoring visit?
82,What do monitors check?
83,What is source data verification?
84,Will someone review my medical records?
85,How is data quality ensured?
86,What happens at study close-out?
87,What is a close-out visit?
88,What does data lock mean?
89,How long are study records kept?
90,Where are documents archived?
91,What is risk-based monitoring?
92,What is centralized monitoring?
93,Who reviews safety data?
94,What is a data safety committee?
95,What is a statistical analysis plan?
96,What is an interim analysis?
97,How are timelines managed?
98,What happens if the study is delayed?
99,Who should I contact in an emergency?
100,Where can I find my emergency contact info?
